date,difficulty,course,score
2025-10-01,普通,高級,4760
2025-10-02,普通,高級,6900
2025-10-03,普通,高級,3500
2025-10-04,普通,高級,6380
2025-10-05,普通,高級,7660
2025-10-06,普通,高級,7520
2025-10-07,普通,高級,8780
2025-10-08,普通,高級,6400
2025-10-09,普通,高級,7540
2025-10-10,普通,高級,5380
2025-10-11,普通,高級,6640
2025-10-12,普通,高級,5640
2025-10-13,普通,高級,8920
2025-10-14,普通,高級,4380
2025-10-15,普通,高級,6040
2025-10-16,普通,高級,7780
2025-10-17,普通,高級,7160
2025-10-18,普通,高級,7780
2025-10-19,普通,高級,3620
2025-10-20,普通,高級,5760
2025-10-21,普通,高級,4900
2025-10-22,普通,高級,4760
2025-10-23,普通,高級,7660
2025-10-24,普通,高級,4000
2025-10-25,普通,高級,3500
2025-10-26,普通,高級,6780
2025-10-27,普通,高級,8160
2025-10-28,普通,高級,5020
2025-10-29,普通,高級,7400
2025-10-30,普通,高級,7020
2025-10-31,普通,高級,6020
