date,difficulty,course,score
2025-12-01,練習,高級,9400 
2025-12-02,練習,高級,10160
2025-12-03,練習,高級,9780 
2025-12-04,練習,高級,10540
2025-12-05,練習,高級,10160
2025-12-06,練習,高級,9020 
